market_date,breadth_pct,buy_signals,scored,median_score,mean_score
2026-08-17,31.8,57,179,20,18.78
2026-08-18,30.7,55,179,19,18.3
2026-08-19,42.5,76,179,20,18.95
2026-08-20,30.7,55,179,17,17.24
2026-08-21,37.4,67,179,18,17.98
2026-08-24,37.4,67,179,19,18.27
2026-08-25,34.1,61,179,19,18.08
2026-08-26,29.1,52,179,19,18.26
2026-08-27,35.2,63,179,19,18.37
2026-08-28,35.2,63,179,19,18.37
2026-08-31,29.1,52,179,18,17.33
2026-09-01,26.3,47,179,17,16.03
2026-09-02,24.6,44,179,17,16.09
2026-09-03,26.8,48,179,17,16.8
2026-09-04,24.6,44,179,18,17.49
2026-09-08,24.6,44,179,18,17.49
2026-09-09,20.1,36,179,17,16.45
2026-09-10,17.3,31,179,15,15.45
2026-09-11,15.6,28,179,14,14.89
2026-09-14,17.3,31,179,16,15.78
