,HRP (single),HRP (ward),MinVar,MinVar long-only,MinVar shrunk 0.3,Equal weight
TECH_1,0.04813,0.0537,-0.01769,0.0,0.01509,0.05
TECH_2,0.02282,0.02546,-0.07456,0.0,-0.0193,0.05
TECH_3,0.03801,0.04241,0.00117,0.00106,0.01462,0.05
TECH_4,0.0401,0.04473,0.06216,0.05592,0.03804,0.05
TECH_5,0.0909,0.10971,0.07863,0.07074,0.05805,0.05
TECH_6,0.0307,0.03425,0.07463,0.06714,0.05959,0.05
FIN_1,0.06296,0.05373,0.05301,0.04769,0.04244,0.05
FIN_2,0.03246,0.0277,-0.01273,0.0,0.02026,0.05
FIN_3,0.04331,0.03696,0.01106,0.00995,0.02172,0.05
FIN_4,0.04622,0.03945,0.07038,0.06332,0.06508,0.05
FIN_5,0.09555,0.08155,0.22873,0.20578,0.16894,0.05
ENERGY_1,0.02786,0.03363,0.00198,0.00178,0.018,0.05
ENERGY_2,0.05078,0.06129,0.12264,0.11033,0.0866,0.05
ENERGY_3,0.02139,0.02582,0.07248,0.06521,0.04849,0.05
ENERGY_4,0.02659,0.03209,0.0079,0.00711,0.03113,0.05
STAPLE_1,0.10588,0.0918,0.11632,0.10465,0.11743,0.05
STAPLE_2,0.03841,0.03819,0.02988,0.02688,0.02984,0.05
STAPLE_3,0.04753,0.04726,-0.00655,0.0,0.02959,0.05
STAPLE_4,0.07465,0.06567,0.12676,0.11404,0.10546,0.05
STAPLE_5,0.05575,0.05462,0.0538,0.0484,0.04894,0.05
