,TECH_1,TECH_2,TECH_3,TECH_4,TECH_5,TECH_6,FIN_1,FIN_2,FIN_3,FIN_4,FIN_5,ENERGY_1,ENERGY_2,ENERGY_3,ENERGY_4,STAPLE_1,STAPLE_2,STAPLE_3,STAPLE_4,STAPLE_5
2022-01-03,-0.013309,0.00065,0.022299,0.009459,0.0083,0.015217,0.00385,-0.014531,0.009784,-0.006885,-0.001141,-0.018726,-0.019558,-0.017126,-0.027212,0.019456,0.003352,0.007388,0.036376,-0.009264
2022-01-04,-0.015863,-0.019397,-0.010799,-0.037658,-0.00924,-0.022747,-0.013012,-0.005037,-0.024369,-0.022286,0.010448,-0.032075,-0.005845,-0.017149,-0.014884,-0.021348,0.00271,-0.000564,-0.015524,-0.038324
2022-01-05,-0.002492,0.010051,-0.018482,-0.011914,-0.011361,-0.012479,-0.005642,-0.000902,-0.001519,-0.011015,0.010805,0.039575,0.011004,0.030579,0.011098,0.018093,0.018081,-0.002563,0.048888,0.017009
2022-01-06,0.002938,0.000368,0.023614,-0.005361,0.01828,-0.000915,-0.01746,-0.002479,-0.005767,0.002963,0.01348,-0.007604,0.014038,0.003885,0.017251,-0.003733,0.024564,0.002773,0.005202,0.007297
2022-01-07,0.015714,-0.011186,-0.015126,0.003146,-0.003737,0.015702,-0.028957,-0.003872,0.002517,-0.004795,0.01559,-0.069704,-0.001334,-0.018294,-0.011452,0.016999,-0.024812,-0.000266,0.01071,0.038681
2022-01-10,-0.030453,-0.03025,-0.035144,-0.037302,-0.024089,-0.02702,-0.025943,-0.020345,-0.030024,-0.004681,0.009708,-0.01974,-0.000908,-0.040809,-0.034886,0.013182,-0.026799,-0.021007,0.01459,-0.014817
2022-01-11,-0.024445,-0.029674,-0.015487,-0.025642,-0.012047,-0.014231,-0.031963,-0.015421,-0.009064,-0.021883,-0.027979,0.001441,0.018024,0.018219,0.019062,0.003167,-0.003293,-0.026005,-0.003131,-0.027299
2022-01-12,-0.032578,-0.002277,-0.006572,-0.008537,-0.01732,-0.021833,-0.040293,-0.017025,-0.035197,-0.030124,-0.00372,-0.033138,-0.021889,-0.014122,-0.024092,1.1e-05,0.014295,-0.014521,0.003975,-0.015099
2022-01-13,0.031862,0.034811,0.05249,0.01386,0.011963,0.019181,0.011588,0.02375,0.031986,0.016554,0.029859,-0.028895,-0.028533,-0.014846,-0.006277,-0.000945,0.01895,-0.010946,0.010861,-0.010172
2022-01-14,-0.016944,-0.006635,-0.025296,0.001422,-0.001819,-0.007243,-0.005404,0.00725,0.022253,0.010485,0.004815,-0.021957,-0.009445,-0.004827,-0.002396,0.010123,-0.031631,5.9e-05,0.000868,0.005016
2022-01-17,0.008045,0.009374,0.001059,0.016116,0.006239,0.013852,-0.003862,0.017001,-0.007742,-0.004408,0.001838,-0.002417,-0.020917,-0.004348,-0.003448,-0.009057,0.040743,-0.007765,0.025052,0.008051
2022-01-18,0.014983,0.000118,0.014778,0.014069,0.006089,-0.008822,0.01097,0.034632,0.000178,0.021546,0.01716,-0.007967,0.033202,-0.03082,0.004301,0.009817,-0.027479,-0.016178,0.004425,-0.00617
2022-01-19,-0.011994,-0.011488,0.011044,-0.005954,-0.011834,-0.001165,-0.016054,-0.027553,-0.018199,-0.009162,-0.017686,-0.025439,-0.001752,-0.021624,-0.016329,-0.00055,-0.039986,-0.029059,0.007712,-0.0095
2022-01-20,0.006469,-0.006531,-0.013762,-0.006234,-0.000852,-0.003384,-0.018887,0.006078,-0.009679,-0.011107,0.011793,-9.9e-05,-0.025084,0.002324,-0.010304,-0.013651,0.007229,0.013583,-0.009218,0.006673
2022-01-21,0.016621,0.012947,0.040948,0.023575,0.006229,0.025221,0.002325,0.006601,0.028152,0.019033,0.027374,0.004329,-0.006941,0.01795,-0.010263,0.003675,0.000361,0.004568,-0.002004,-0.000345
