allocator,vol_in,vol_true,vol_out,optimism_pct,luck_pct,drift_pct,dist_to_oracle,max_weight,short_weight,n_effective,seed
HRP (single),0.1495,0.1462,0.1487,-2.205,1.714,-0.5287,1.1797,0.0827,0.0,18.1025,20260908
HRP (ward),0.1502,0.147,0.1498,-2.09,1.8597,-0.2692,1.1841,0.1014,0.0,17.7535,20260908
MinVar,0.1232,0.1451,0.1583,17.7432,9.0722,28.4251,1.05,0.2672,-0.5734,2.8984,20260908
MinVar long-only,0.1357,0.1411,0.1469,3.9815,4.127,8.2728,0.9308,0.1699,0.0,9.6096,20260908
MinVar shrunk 0.3,0.1304,0.1398,0.147,7.2474,5.0953,12.7119,0.8935,0.1512,-0.1427,8.2648,20260908
Equal weight,0.1557,0.148,0.1502,-4.9831,1.5201,-3.5388,1.2857,0.05,0.0,20.0,20260908
HRP (single),0.1441,0.1452,0.1409,0.7747,-2.9642,-2.2124,1.1754,0.1058,0.0,17.1634,20260909
HRP (ward),0.1425,0.1445,0.1398,1.4299,-3.2817,-1.8988,1.0885,0.1026,0.0,16.9293,20260909
MinVar,0.1076,0.1486,0.1457,38.071,-1.9841,35.3316,1.1702,0.3936,-0.5817,2.602,20260909
MinVar long-only,0.1245,0.1394,0.1359,11.9931,-2.5602,9.126,0.968,0.2489,0.0,8.2482,20260909
MinVar shrunk 0.3,0.117,0.1372,0.1331,17.2145,-2.9374,13.7714,0.7398,0.2239,-0.1662,6.9808,20260909
Equal weight,0.1505,0.146,0.1416,-2.9362,-3.016,-5.8636,1.2279,0.05,0.0,20.0,20260909
HRP (single),0.1333,0.1471,0.153,10.3366,3.9663,14.7129,1.3254,0.0963,0.0,17.2985,20260910
HRP (ward),0.1344,0.1476,0.1521,9.7887,3.0777,13.1677,1.391,0.1024,0.0,16.9293,20260910
MinVar,0.1058,0.1415,0.1427,33.7063,0.8759,34.8774,1.2142,0.2822,-0.3296,3.7515,20260910
MinVar long-only,0.1142,0.1393,0.1406,22.05,0.8824,23.127,1.0159,0.2122,0.0,7.3172,20260910
MinVar shrunk 0.3,0.1107,0.1381,0.1413,24.7041,2.3389,27.6208,1.0003,0.2039,-0.1021,7.2444,20260910
Equal weight,0.1429,0.1536,0.1581,7.5029,2.9435,10.6672,1.6022,0.05,0.0,20.0,20260910
HRP (single),0.1569,0.1562,0.161,-0.4614,3.1202,2.6444,1.7466,0.1098,0.0,17.2543,20260911
HRP (ward),0.1556,0.1543,0.1591,-0.8418,3.1011,2.2331,1.6872,0.0806,0.0,18.2918,20260911
MinVar,0.1221,0.1379,0.1325,12.9067,-3.9493,8.4476,0.9892,0.2999,-0.6197,2.6518,20260911
MinVar long-only,0.1369,0.1386,0.1405,1.2451,1.375,2.6372,1.02,0.1851,0.0,8.3392,20260911
MinVar shrunk 0.3,0.1301,0.1371,0.1373,5.363,0.2032,5.5771,0.9403,0.1996,-0.1654,6.5917,20260911
Equal weight,0.1608,0.1575,0.1636,-2.0358,3.858,1.7437,1.8215,0.05,0.0,20.0,20260911
HRP (single),0.1425,0.1429,0.1404,0.2986,-1.7821,-1.4889,1.4456,0.092,0.0,17.8908,20260912
HRP (ward),0.1422,0.1435,0.1407,0.948,-1.9651,-1.0357,1.4308,0.099,0.0,17.4167,20260912
MinVar,0.1072,0.1351,0.1335,26.1007,-1.2353,24.543,1.3756,0.4044,-0.6225,2.3966,20260912
MinVar long-only,0.1248,0.1309,0.1283,4.9122,-1.9983,2.8158,0.9771,0.2492,0.0,7.8274,20260912
MinVar shrunk 0.3,0.1154,0.1299,0.1271,12.5166,-2.145,10.1032,0.96,0.2398,-0.1737,6.0637,20260912
Equal weight,0.149,0.1482,0.1448,-0.5811,-2.3061,-2.8738,1.6253,0.05,0.0,20.0,20260912
HRP (single),0.1338,0.1592,0.1581,18.9879,-0.716,18.1359,0.7348,0.0888,0.0,16.7727,20260913
HRP (ward),0.1361,0.1601,0.1582,17.6085,-1.1432,16.2639,0.7771,0.082,0.0,17.5564,20260913
MinVar,0.1201,0.1624,0.1556,35.1887,-4.1834,29.5332,0.8592,0.1728,-0.1886,7.0605,20260913
MinVar long-only,0.124,0.1577,0.1526,27.1137,-3.1926,23.0554,0.6351,0.1454,0.0,11.2229,20260913
MinVar shrunk 0.3,0.1231,0.1579,0.1535,28.2967,-2.791,24.716,0.5664,0.1431,-0.0258,12.4505,20260913
Equal weight,0.1404,0.1597,0.1599,13.7035,0.1351,13.8571,0.7671,0.05,0.0,20.0,20260913
HRP (single),0.1599,0.1528,0.1505,-4.4481,-1.4984,-5.8799,1.0225,0.1042,0.0,18.1341,20260914
HRP (ward),0.1599,0.152,0.1489,-4.9558,-2.0473,-6.9016,0.97,0.077,0.0,18.4222,20260914
MinVar,0.1431,0.1533,0.1529,7.0835,-0.2615,6.8036,1.0851,0.2878,-0.3364,4.3353,20260914
MinVar long-only,0.1489,0.15,0.1471,0.682,-1.8787,-1.2096,0.8576,0.2154,0.0,8.8754,20260914
MinVar shrunk 0.3,0.1471,0.1468,0.1445,-0.191,-1.6042,-1.7921,0.6593,0.1907,-0.0697,9.7358,20260914
Equal weight,0.1627,0.1541,0.1521,-5.287,-1.2897,-6.5085,1.0504,0.05,0.0,20.0,20260914
HRP (single),0.1394,0.1342,0.1306,-3.7642,-2.6399,-6.3048,1.0074,0.0924,0.0,17.7602,20260915
HRP (ward),0.1404,0.1349,0.1313,-3.9191,-2.6356,-6.4514,1.0391,0.0795,0.0,18.0778,20260915
MinVar,0.1195,0.1315,0.1262,10.0383,-4.0814,5.5473,0.7975,0.3678,-0.4116,3.2848,20260915
MinVar long-only,0.1292,0.1319,0.1267,2.0898,-3.9682,-1.9613,0.6011,0.2606,0.0,7.9654,20260915
MinVar shrunk 0.3,0.1254,0.1277,0.1239,1.8275,-2.9246,-1.1505,0.6006,0.1878,-0.0887,9.3331,20260915
Equal weight,0.1457,0.138,0.1347,-5.3233,-2.363,-7.5605,1.1876,0.05,0.0,20.0,20260915
HRP (single),0.1574,0.1479,0.1486,-6.0155,0.4599,-5.5833,1.2606,0.1065,0.0,17.2026,20260916
HRP (ward),0.1574,0.1466,0.1475,-6.8462,0.585,-6.3012,1.222,0.0958,0.0,17.6158,20260916
MinVar,0.1404,0.1451,0.1427,3.3521,-1.6837,1.612,1.0866,0.3804,-0.2936,3.7725,20260916
MinVar long-only,0.1452,0.1437,0.1421,-1.0616,-1.1139,-2.1636,1.0386,0.2941,0.0,6.9674,20260916
MinVar shrunk 0.3,0.1444,0.141,0.1402,-2.3778,-0.5403,-2.9052,1.0016,0.2414,-0.0663,8.2432,20260916
Equal weight,0.1622,0.151,0.1533,-6.9351,1.529,-5.5121,1.38,0.05,0.0,20.0,20260916
HRP (single),0.1307,0.141,0.1409,7.8819,-0.0469,7.8313,1.2234,0.1166,0.0,16.6685,20260917
HRP (ward),0.1338,0.144,0.1432,7.6055,-0.5774,6.9842,1.4264,0.092,0.0,17.819,20260917
MinVar,0.1075,0.1345,0.1318,25.1033,-2.0528,22.5352,0.96,0.304,-0.3926,3.6282,20260917
MinVar long-only,0.1176,0.1341,0.1312,14.0053,-2.1052,11.6053,0.9592,0.2183,0.0,7.9438,20260917
MinVar shrunk 0.3,0.1124,0.1324,0.1307,17.7665,-1.3085,16.2256,0.8437,0.202,-0.1302,7.6574,20260917
Equal weight,0.1383,0.1445,0.1446,4.4742,0.1198,4.5994,1.4185,0.05,0.0,20.0,20260917
HRP (single),0.1243,0.1386,0.1392,11.5166,0.3914,11.953,1.0215,0.1177,0.0,17.4119,20260918
HRP (ward),0.1264,0.1399,0.1412,10.6683,0.9519,11.7217,1.1545,0.0957,0.0,18.2448,20260918
MinVar,0.1084,0.1353,0.1374,24.8193,1.549,26.7527,0.9227,0.2234,-0.2101,5.3285,20260918
MinVar long-only,0.114,0.1369,0.1408,20.1021,2.862,23.5394,0.9623,0.1846,0.0,8.8753,20260918
