allocator,vol_in,vol_true,vol_out,optimism_pct,luck_pct,drift_pct,dist_to_oracle,max_weight,short_weight,n_effective,train_len
HRP (single),0.1505,0.16,0.1655,6.3189,3.4504,9.9873,1.0609,0.0841,0.0,18.0015,60
HRP (ward),0.1491,0.1605,0.1659,7.6344,3.3907,11.284,1.0586,0.0902,0.0,17.8422,60
MinVar,0.1285,0.1796,0.1924,39.707,7.1604,49.7107,1.6583,0.2361,-0.4724,3.5619,60
MinVar long-only,0.14,0.1641,0.1715,17.2187,4.4766,22.4662,1.0247,0.1603,0.0,9.2802,60
MinVar shrunk 0.3,0.1344,0.1617,0.1698,20.302,5.0374,26.3621,1.0241,0.1692,-0.0765,10.4726,60
Equal weight,0.1553,0.1619,0.1659,4.2342,2.4437,6.7813,1.1954,0.05,0.0,20.0,60
HRP (single),0.1383,0.1586,0.1641,14.6783,3.4775,18.6661,1.025,0.0884,0.0,17.1492,120
HRP (ward),0.1378,0.1596,0.1645,15.7887,3.1153,19.3958,1.1085,0.0945,0.0,17.5986,120
MinVar,0.1283,0.1565,0.1658,21.9956,5.949,29.2532,0.9777,0.1969,-0.1012,7.9005,120
MinVar long-only,0.1298,0.1555,0.1634,19.8475,5.0508,25.9007,0.8927,0.1788,0.0,9.9379,120
MinVar shrunk 0.3,0.1302,0.1558,0.163,19.67,4.5631,25.1307,0.9136,0.1434,-0.018,12.544,120
Equal weight,0.1429,0.1619,0.1659,13.2674,2.4437,16.0353,1.1954,0.05,0.0,20.0,120
HRP (single),0.1503,0.1582,0.163,5.2803,2.983,8.4208,1.0482,0.0779,0.0,18.2858,250
HRP (ward),0.1507,0.1595,0.1645,5.8158,3.1599,9.1594,1.1075,0.0722,0.0,19.104,250
MinVar,0.1372,0.1532,0.1616,11.6765,5.4734,17.7891,0.7129,0.1782,-0.1355,7.2859,250
MinVar long-only,0.1382,0.152,0.1592,9.9752,4.7257,15.1723,0.6403,0.1569,0.0,9.7647,250
MinVar shrunk 0.3,0.1394,0.153,0.1602,9.7996,4.7075,14.9683,0.7085,0.1378,-0.0048,11.9261,250
Equal weight,0.1536,0.1619,0.1659,5.419,2.4437,7.9951,1.1954,0.05,0.0,20.0,250
HRP (single),0.1606,0.1612,0.1665,0.3524,3.3149,3.6789,1.1591,0.0771,0.0,18.6545,500
HRP (ward),0.157,0.1588,0.1638,1.1311,3.1789,4.346,1.0252,0.1154,0.0,16.9725,500
MinVar,0.1478,0.1513,0.1602,2.3713,5.8692,8.3797,0.5924,0.2395,-0.1417,6.4047,500
MinVar long-only,0.1495,0.1523,0.1596,1.848,4.8355,6.7728,0.6538,0.2098,0.0,8.7571,500
MinVar shrunk 0.3,0.15,0.1521,0.1596,1.4278,4.9213,6.4194,0.6309,0.151,-0.0214,11.6937,500
Equal weight,0.1615,0.1619,0.1659,0.2517,2.4437,2.7016,1.1954,0.05,0.0,20.0,500
HRP (single),0.16,0.1606,0.166,0.4146,3.3698,3.7984,1.1483,0.0768,0.0,18.5196,1000
HRP (ward),0.1583,0.159,0.1641,0.4927,3.1561,3.6644,1.1027,0.0835,0.0,18.1813,1000
MinVar,0.1481,0.1497,0.1579,1.0463,5.5346,6.6389,0.3949,0.1698,-0.1674,7.1396,1000
MinVar long-only,0.1497,0.1513,0.1582,1.0405,4.6001,5.6885,0.518,0.1455,0.0,10.2308,1000
MinVar shrunk 0.3,0.1501,0.1513,0.1583,0.8,4.6294,5.4664,0.5956,0.1317,-0.0148,12.116,1000
Equal weight,0.1616,0.1619,0.1659,0.1595,2.4437,2.607,1.1954,0.05,0.0,20.0,1000
HRP (single),0.155,0.1589,0.1642,2.4966,3.3302,5.9099,1.0585,0.1,0.0,17.4078,2000
HRP (ward),0.1554,0.159,0.164,2.3456,3.128,5.5469,1.1019,0.0833,0.0,18.1833,2000
MinVar,0.1448,0.1484,0.1552,2.5244,4.5789,7.2189,0.2056,0.1789,-0.1739,6.6976,2000
MinVar long-only,0.1466,0.1503,0.1568,2.515,4.3882,7.0135,0.3909,0.1524,0.0,9.9326,2000
MinVar shrunk 0.3,0.1469,0.1505,0.1569,2.4686,4.2412,6.8144,0.5183,0.1288,-0.0171,12.088,2000
Equal weight,0.1584,0.1619,0.1659,2.2042,2.4437,4.7017,1.1954,0.05,0.0,20.0,2000
