quantity,value
A_g1_sd_mc,0.443396
A_g1_sd_exact,0.442217
A_g2_sd_mc,0.745632
A_g2_sd_exact,0.737414
A_g2_sd_asymptotic,1.000000
A_g2_mean_mc,2.763319
A_g2_p05,1.899537
A_g2_p95,4.164114
A_sr_sd_mc_at_sr0,0.214718
A_sr_se_naive,0.204124
B15_mixture_p,0.100000
B15_mixture_m1,0.145177
B15_mixture_s1,1.705684
B15_mixture_m2,1.650536
B15_mixture_s2,0.749159
B15_true_psr,0.998104
B15_sr_true,1.500000
B15_sr_mean,1.660337
B15_sr_sd,0.527950
B15_sr_se_lo2002,0.297560
B15_sr_se_naive,0.204124
B15_g1_mean,-0.670276
B15_g1_sd,0.809099
B15_g1_p05,-2.086593
B15_g1_p95,0.499474
B15_g2_mean,4.217401
B15_g2_sd,2.155145
B15_g2_p05,2.084537
B15_g2_p95,8.705562
B15_plugin_nan_share,0.000000
B15_plugin_median,0.999978
B15_plugin_mean,0.997405
B15_plugin_p05,0.985029
B15_plugin_p25,0.998475
B15_plugin_p75,1.000000
B15_plugin_p95,1.000000
B15_plugin_share_below_0.95,0.003150
B15_plugin_share_below_0.90,0.000150
B15_plugin_share_above_0.95,0.996850
B15_plugin_share_above_true,0.768600
B15_normal_only_median,1.000000
B15_normal_only_share_above_0.95,0.999850
B15_normal_only_share_above_true,0.990700
B15_label,the worked example
R15_sample_index,1073
R15_sample_sr,1.230192
R15_sample_g1,-0.386042
R15_sample_g2,2.601237
R15_sample_plugin_psr,0.999978
R15_boot_reps,5000
R15_boot_mean_block,3.000000
R15_boot_nan_share,0.000000
R15_boot_p05,0.999755
R15_boot_p50,0.999972
R15_boot_p95,1.000000
R15_boot_share_below_0.95,0.000000
B05_mixture_p,0.100000
B05_mixture_m1,-0.854823
B05_mixture_s1,1.705684
B05_mixture_m2,0.650536
B05_mixture_s2,0.749159
B05_true_psr,0.956022
B05_sr_true,0.500000
B05_sr_mean,0.570149
B05_sr_sd,0.300372
B05_sr_se_lo2002,0.216506
B05_sr_se_naive,0.204124
B05_g1_mean,-0.678697
B05_g1_sd,0.807050
B05_g1_p05,-2.088468
B05_g1_p95,0.510498
B05_g2_mean,4.225892
B05_g2_sd,2.151930
B05_g2_p05,2.075826
B05_g2_p95,8.700633
B05_plugin_nan_share,0.000000
B05_plugin_median,0.980637
B05_plugin_mean,0.932703
B05_plugin_p05,0.703758
B05_plugin_p25,0.911900
B05_plugin_p75,0.998964
B05_plugin_p95,0.999998
B05_plugin_share_below_0.95,0.353200
B05_plugin_share_below_0.90,0.224500
B05_plugin_share_above_0.95,0.646800
B05_plugin_share_above_true,0.624950
B05_normal_only_median,0.992659
B05_normal_only_share_above_0.95,0.748150
B05_normal_only_share_above_true,0.731250
B05_label,a marginal edge
R05_sample_index,2428
R05_sample_sr,0.537998
R05_sample_g1,-0.637702
R05_sample_g2,3.970386
R05_sample_plugin_psr,0.980637
R05_boot_reps,5000
R05_boot_mean_block,3.000000
R05_boot_nan_share,0.000000
R05_boot_p05,0.859125
R05_boot_p50,0.980806
R05_boot_p95,0.999561
R05_boot_share_below_0.95,0.240000
