buckets,window,method,trades_per_bucket,vpin_mean,vpin_quiet,vpin_active,ratio
50,10,bvc,400.0,0.3507,0.1778,0.6029,3.39
50,10,tick,400.0,0.1161,0.0752,0.2019,2.69
50,25,bvc,400.0,0.4261,nan,0.3834,nan
50,25,tick,400.0,0.1404,nan,0.139,nan
100,10,bvc,200.0,0.376,0.2396,0.797,3.33
100,10,tick,200.0,0.1301,0.0946,0.2543,2.69
100,25,bvc,200.0,0.4079,0.2421,0.5775,2.39
100,25,tick,200.0,0.1372,0.096,0.1814,1.89
100,50,bvc,200.0,0.4688,nan,0.4548,nan
100,50,tick,200.0,0.1556,nan,0.1524,nan
250,10,bvc,80.0,0.4125,0.3245,0.7929,2.44
250,10,tick,80.0,0.1696,0.1459,0.2832,1.94
250,25,bvc,80.0,0.4254,0.3308,0.7577,2.29
250,25,tick,80.0,0.1725,0.1408,0.2662,1.89
250,50,bvc,80.0,0.441,0.3292,0.6376,1.94
250,50,tick,80.0,0.1779,0.1386,0.2259,1.63
250,100,bvc,80.0,0.4827,nan,0.4828,nan
250,100,tick,80.0,0.1901,nan,0.1834,nan
500,10,bvc,40.0,0.4411,0.3689,0.7129,1.93
500,10,tick,40.0,0.2101,0.1806,0.3058,1.69
500,25,bvc,40.0,0.4454,0.3695,0.7256,1.96
500,25,tick,40.0,0.211,0.1794,0.3052,1.7
500,50,bvc,40.0,0.4512,0.3656,0.7037,1.92
500,50,tick,40.0,0.2128,0.1762,0.291,1.65
500,100,bvc,40.0,0.4604,0.366,0.6176,1.69
500,100,tick,40.0,0.2171,0.1749,0.2541,1.45
1000,10,bvc,20.0,0.4462,0.379,0.6298,1.66
1000,10,tick,20.0,0.2765,0.2432,0.3497,1.44
1000,25,bvc,20.0,0.4462,0.3811,0.6417,1.68
1000,25,tick,20.0,0.2768,0.2473,0.354,1.43
1000,50,bvc,20.0,0.4487,0.3857,0.6414,1.66
1000,50,tick,20.0,0.2773,0.2462,0.3491,1.42
1000,100,bvc,20.0,0.4536,0.392,0.6234,1.59
1000,100,tick,20.0,0.2781,0.2463,0.3346,1.36
